municipio;TXApro_Total_2017;TXApro_1aSERIE_2017;TXApro_2aSERIE_2017;TXApro_3aSERIE_2017;TXApro_4aSERIE_2017;Indicador de Rendimento (P)_2017;TXApro_Total_2019;TXApro_1aSERIE_2019;TXApro_2aSERIE_2019;TXApro_3aSERIE_2019;TXApro_4aSERIE_2019;Indicador de Rendimento (P)_2019;TXApro_Total_2021;TXApro_1aSERIE_2021;TXApro_2aSERIE_2021;TXApro_3aSERIE_2021;TXApro_4aSERIE_2021;Indicador de Rendimento (P)_2021;TXApro_Total_2023;TXApro_1aSERIE_2023;TXApro_2aSERIE_2023;TXApro_3aSERIE_2023;TXApro_4aSERIE_2023;Indicador de Rendimento (P)_2023;saeb_Mat_2017;saeb_Port_2017;saeb_Media_padronizada_2017;saeb_Mat_2019;saeb_Port_2019;saeb_Media_padronizada_2019;saeb_Mat_2021;saeb_Port_2021;saeb_Media_padronizada_2021;saeb_Mat_2023;saeb_Port_2023;saeb_Media_padronizada_2023;IDEB_2017;IDEB_2019;IDEB_2021;IDEB_2023;Meta_2019;Meta_2021
Noroeste Paranaense;82.507;77.140;81.252;89.309;97.567;0.825;91.574;88.383;91.770;94.781;95.676;0.916;97.394;97.015;96.766;98.429;97.463;0.974;96.872;94.790;97.356;98.633;98.384;0.969;269.777;264.359;4.436;273.918;275.090;4.655;270.339;273.241;4.577;274.962;279.915;4.742;3.875;4.315;4.476;4.598;4.078;4.401
Centro Ocidental Paranaense;81.312;76.086;79.276;88.276;89.114;0.805;90.142;86.996;90.812;93.446;89.180;0.902;97.439;97.872;96.906;97.794;93.333;0.974;97.108;96.239;96.469;98.641;97.225;0.972;267.509;269.796;4.486;278.877;281.646;4.823;272.351;275.635;4.641;280.827;286.930;4.929;3.859;4.426;4.527;4.789;4.088;4.479
Norte Central Paranaense;81.317;73.184;81.701;89.174;96.578;0.807;88.351;84.720;89.127;92.430;96.746;0.887;96.039;95.646;95.279;97.104;97.643;0.960;97.057;95.515;97.293;98.836;98.986;0.972;277.745;274.270;4.696;276.291;279.412;4.753;274.776;280.905;4.754;276.895;285.022;4.845;4.040;4.308;4.592;4.706;4.243;4.467
Norte Pioneiro Paranaense;80.797;74.600;80.038;88.171;94.890;0.807;92.210;89.560;92.394;94.766;98.370;0.924;97.382;96.876;96.903;98.458;98.450;0.975;97.743;96.733;97.629;98.786;99.690;0.978;268.630;265.897;4.443;272.094;273.834;4.610;266.236;270.127;4.473;273.315;276.914;4.674;3.956;4.281;4.368;4.579;4.163;4.386
Centro Oriental Paranaense;81.742;77.119;81.078;88.229;96.806;0.820;89.489;84.459;91.237;94.273;97.433;0.899;97.542;97.204;97.364;98.148;96.827;0.975;97.590;96.418;97.469;98.992;99.213;0.976;271.928;269.948;4.550;279.717;280.903;4.823;270.051;274.054;4.585;274.346;279.943;4.733;4.035;4.412;4.490;4.624;4.252;4.544
Oeste Paranaense;81.847;76.555;80.828;88.504;95.487;0.817;88.806;84.776;89.667;93.169;96.223;0.892;95.961;95.645;95.498;96.956;97.521;0.960;97.188;95.336;97.814;98.795;99.032;0.973;287.363;277.972;4.887;292.471;288.834;5.121;286.007;285.254;4.977;281.857;286.111;4.931;4.338;4.677;4.821;4.801;4.552;4.779
Sudoeste Paranaense;83.848;79.674;83.134;89.018;96.306;0.841;89.955;86.614;90.560;93.513;96.560;0.902;94.663;94.249;94.058;95.670;95.717;0.946;96.245;94.434;96.001;98.655;99.567;0.964;290.852;281.765;4.993;295.326;287.882;5.147;284.223;282.542;4.911;286.373;288.842;5.036;4.429;4.749;4.676;4.849;4.632;4.843
Centro Sul Paranaense;81.952;74.916;83.460;89.667;96.343;0.820;89.564;85.568;90.170;94.375;97.072;0.900;95.390;95.031;93.970;97.253;96.744;0.954;97.331;96.158;97.416;98.737;99.057;0.974;272.628;267.517;4.523;285.055;282.401;4.921;280.324;281.142;4.835;281.286;284.498;4.899;3.931;4.493;4.631;4.770;4.154;4.561
Sudeste Paranaense;83.863;78.781;81.481;91.444;98.570;0.835;90.285;84.917;91.471;95.276;98.318;0.903;95.578;95.796;94.711;95.898;98.355;0.955;95.388;92.623;95.709;98.119;99.678;0.954;277.127;269.028;4.609;285.080;282.947;4.929;283.273;280.205;4.863;284.567;286.097;4.969;3.979;4.487;4.658;4.743;4.194;4.500
Metropolitana;79.458;73.637;78.589;87.186;92.330;0.793;86.263;82.042;86.707;91.630;92.742;0.865;95.677;95.879;94.642;96.578;94.985;0.956;95.947;94.221;95.890;97.919;98.455;0.960;280.347;277.551;4.782;278.902;280.896;4.812;273.715;279.630;4.720;276.612;284.793;4.838;4.125;4.263;4.553;4.653;4.341;4.451
