uf;municipio;escola;rede;TXApro_Total_2017;TXApro_1aSERIE_2017;TXApro_2aSERIE_2017;TXApro_3aSERIE_2017;TXApro_4aSERIE_2017;Indicador de Rendimento (P)_2017;TXApro_Total_2019;TXApro_1aSERIE_2019;TXApro_2aSERIE_2019;TXApro_3aSERIE_2019;TXApro_4aSERIE_2019;Indicador de Rendimento (P)_2019;TXApro_Total_2021;TXApro_1aSERIE_2021;TXApro_2aSERIE_2021;TXApro_3aSERIE_2021;TXApro_4aSERIE_2021;Indicador de Rendimento (P)_2021;TXApro_Total_2023;TXApro_1aSERIE_2023;TXApro_2aSERIE_2023;TXApro_3aSERIE_2023;TXApro_4aSERIE_2023;Indicador de Rendimento (P)_2023;saeb_Mat_2017;saeb_Port_2017;saeb_Media_padronizada_2017;saeb_Mat_2019;saeb_Port_2019;saeb_Media_padronizada_2019;saeb_Mat_2021;saeb_Port_2021;saeb_Media_padronizada_2021;saeb_Mat_2023;saeb_Port_2023;saeb_Media_padronizada_2023;IDEB_2017;IDEB_2019;IDEB_2021;IDEB_2023;Meta_2019;Meta_2021
RO;Ariquemes;COLEGIO DINAMICO EDUCACAO BASICA;Privada;97.500;96.500;97.700;98.300;;0.975;;;;;;;;;;;;;;;;;;;341.580;323.910;6.336;;;;;;;;;;6.200;;;;6.300;6.500
RO;Cacoal;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;93.200;97.100;88.900;93.600;;0.931;;;;;;;;;;;;;;;;;;;306.800;298.720;5.470;;;;;;;;;;5.100;;;;5.300;5.500
RO;Cacoal;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;86.300;77.500;84.100;100.000;;0.862;;;;;;;;;;;;;;;;;;;311.110;301.710;5.576;;;;;;;;;;4.800;;;;5.000;5.200
RO;Cacoal;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Privada;86.900;89.000;73.100;94.700;;0.846;;;;;;;;;;;;;;;;;;;272.770;252.960;4.307;;;;;;;;;;3.600;;;;3.900;4.100
RO;Cacoal;INSTITUTO EDUCACIONAL SOMA - IES;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;360.430;333.110;6.738;;;;;;;;;;6.700;;;;6.900;7.000
RO;Guajará-Mirim;CENTRO EDUCACIONAL INOVACAO;Privada;100.000;100.000;100.000;100.000;;1.000;;;;;;;;;;;;;;;;;;;284.340;282.880;4.918;;;;;;;;;;4.900;;;;5.100;5.300
RO;Jaru;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;Privada;94.000;80.000;100.000;100.000;;0.923;;;;;;;;;;;;;;;;;;;305.810;309.210;5.613;;;;;;;;;;5.200;;;;5.400;5.600
RO;Ji-Paraná;COLEGIO ULBRA SAO PAULO;Privada;97.200;96.600;96.600;100.000;;0.977;;;;;;;;;;;;;;;;;;;311.320;295.720;5.489;;;;;;;;;;5.400;;;;5.600;5.800
RO;Ji-Paraná;COLEGIO ADVENTISTA DE JI-PARANA;Privada;97.800;95.200;100.000;100.000;;0.983;;;;;;;;;;;;;;;;;;;297.500;296.610;5.308;;;;;;;;;;5.200;;;;5.400;5.600
RO;Ji-Paraná;ESCOLA FAMILIA AGRICOLA ITAPIREMA;Privada;93.500;95.100;93.900;87.000;94.200;0.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;CENTRO DE ENSINO CLASSE A;Privada;98.500;97.100;100.000;98.200;;0.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;Privada;97.500;94.300;100.000;100.000;;0.980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO DOM BOSCO;Privada;87.100;64.300;97.400;98.000;;0.833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;Porto Velho;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;Privada;97.400;100.000;96.200;96.900;;0.977;;;;;;;;;;;;;;;;;;;331.500;333.010;6.331;;;;;;;;;;6.200;;;;6.400;6.500
RO;Porto Velho;COLEGIO ADVENTISTA DE PORTO VELHO;Privada;89.900;82.800;85.200;100.000;;0.887;;;;;;;;;;;;;;;;;;;272.430;282.870;4.750;;;;;;;;;;4.200;;;;4.400;4.600
