uf;TXApro_Total_2017;TXApro_1aSERIE_2017;TXApro_2aSERIE_2017;TXApro_3aSERIE_2017;TXApro_4aSERIE_2017;Indicador de Rendimento (P)_2017;TXApro_Total_2019;TXApro_1aSERIE_2019;TXApro_2aSERIE_2019;TXApro_3aSERIE_2019;TXApro_4aSERIE_2019;Indicador de Rendimento (P)_2019;TXApro_Total_2021;TXApro_1aSERIE_2021;TXApro_2aSERIE_2021;TXApro_3aSERIE_2021;TXApro_4aSERIE_2021;Indicador de Rendimento (P)_2021;TXApro_Total_2023;TXApro_1aSERIE_2023;TXApro_2aSERIE_2023;TXApro_3aSERIE_2023;TXApro_4aSERIE_2023;Indicador de Rendimento (P)_2023;saeb_Mat_2017;saeb_Port_2017;saeb_Media_padronizada_2017;saeb_Mat_2019;saeb_Port_2019;saeb_Media_padronizada_2019;saeb_Mat_2021;saeb_Port_2021;saeb_Media_padronizada_2021;saeb_Mat_2023;saeb_Port_2023;saeb_Media_padronizada_2023;IDEB_2017;IDEB_2019;IDEB_2021;IDEB_2023;Meta_2019;Meta_2021
AC;87.491;82.217;88.809;93.383;95.750;0.878;85.213;80.095;86.344;90.587;96.460;0.852;87.559;84.853;87.160;91.705;;0.877;89.203;84.490;89.823;95.175;;0.895;270.794;269.868;4.533;269.783;271.527;4.543;274.204;280.469;4.739;263.566;266.258;4.377;3.985;3.944;4.573;3.954;4.204;4.326
AL;85.791;80.808;87.305;91.769;89.610;0.862;87.848;83.153;88.665;94.276;90.190;0.883;87.788;88.752;85.159;90.743;79.150;0.882;94.245;92.178;94.313;97.436;92.917;0.943;258.418;257.395;4.172;257.091;261.925;4.221;252.255;258.673;4.105;258.430;259.378;4.202;3.662;3.764;3.824;3.988;3.873;4.041
AM;85.350;81.674;84.934;90.172;;0.852;84.054;81.190;83.502;88.513;;0.840;91.358;91.914;89.923;92.589;;0.912;89.637;87.369;89.334;92.909;;0.896;251.678;252.165;3.999;249.049;254.277;3.994;246.650;254.740;3.967;252.807;255.731;4.068;3.585;3.592;3.773;3.711;3.790;3.929
AP;76.463;69.628;79.254;84.307;91.580;0.765;77.492;71.414;79.009;85.218;89.400;0.779;75.254;73.742;73.724;80.925;;0.752;86.576;82.023;88.825;90.790;;0.868;257.782;260.616;4.211;248.003;253.133;3.962;;;;250.412;258.657;4.079;3.589;3.266;;3.662;3.796;3.728
BA;74.634;65.843;77.621;84.858;80.130;0.745;78.889;71.333;81.261;87.855;84.941;0.791;87.002;88.933;84.957;86.866;89.739;0.866;91.535;94.007;92.941;88.293;91.540;0.912;255.706;254.083;4.085;258.458;262.122;4.244;262.007;267.828;4.379;252.924;256.475;4.081;3.278;3.477;4.030;3.772;3.507;3.675
CE;89.368;85.478;89.775;94.542;100.000;0.896;92.852;89.722;92.989;96.759;;0.929;97.779;97.411;97.138;98.970;83.500;0.978;97.043;96.044;96.663;98.689;85.600;0.971;270.350;268.530;4.506;275.976;278.671;4.737;271.651;277.485;4.659;274.246;276.733;4.684;4.073;4.428;4.579;4.566;4.281;4.499
DF;83.550;77.598;86.491;90.043;;0.839;82.801;76.534;85.395;89.966;;0.832;84.159;81.419;83.724;89.312;;0.844;85.607;86.508;81.458;89.585;;0.854;313.666;301.059;5.602;282.481;286.394;4.944;276.721;279.417;4.759;270.116;275.822;4.612;5.141;4.176;4.261;4.112;5.335;4.904
ES;87.477;80.764;89.119;95.830;94.088;0.878;90.080;85.616;91.244;96.389;93.886;0.906;92.168;91.717;90.656;95.063;98.100;0.923;96.101;94.582;95.857;98.778;98.143;0.963;293.999;284.902;5.084;291.842;287.186;5.088;291.960;286.098;5.073;282.890;283.565;4.908;4.566;4.685;4.808;4.741;4.775;4.922
GO;92.999;90.497;92.705;96.100;90.150;0.930;93.184;90.372;93.943;97.229;94.000;0.936;97.178;96.715;96.558;98.579;100.000;0.972;98.389;97.750;98.455;99.252;100.000;0.984;275.740;273.324;4.654;283.498;284.800;4.935;271.317;275.260;4.621;279.804;282.744;4.852;4.368;4.659;4.511;4.788;4.578;4.776
MA;86.603;82.760;87.437;91.121;;0.867;90.800;89.078;90.483;93.443;;0.908;88.536;88.956;87.473;89.789;;0.884;92.090;90.233;92.477;94.415;100.000;0.921;247.164;248.407;3.880;244.246;250.740;3.874;243.135;252.476;3.884;248.866;251.401;3.948;3.457;3.560;3.592;3.678;3.669;3.789
